"","Country","Pollutant","Variable","Year","Unit","PowerCode","TT_emission"
"52","Canada","Particulates (PM2.5)","Combustion",2011,"Tonnes","Thousands",108.792
"53","Canada","Particulates (PM2.5)","Combustion",2012,"Tonnes","Thousands",102.94
"54","Canada","Particulates (PM2.5)","Combustion",2013,"Tonnes","Thousands",109.883
"55","Canada","Particulates (PM2.5)","Combustion",2014,"Tonnes","Thousands",109.598
"56","Canada","Particulates (PM2.5)","Combustion",2015,"Tonnes","Thousands",104.66
"57","Canada","Particulates (PM2.5)","Combustion",2016,"Tonnes","Thousands",97.315
"58","Canada","Particulates (PM2.5)","Combustion",2017,"Tonnes","Thousands",97.222
"59","Canada","Particulates (PM2.5)","Combustion",2018,"Tonnes","Thousands",99.911
"60","Canada","Particulates (PM2.5)","Combustion",2019,"Tonnes","Thousands",99.367
"61","Canada","Particulates (PM2.5)","Industrial processes and product use",2005,"Tonnes","Thousands",252.912
"62","Canada","Particulates (PM2.5)","Industrial processes and product use",2006,"Tonnes","Thousands",295.558
"63","Canada","Particulates (PM2.5)","Industrial processes and product use",2007,"Tonnes","Thousands",364.694
"64","Canada","Particulates (PM2.5)","Industrial processes and product use",2008,"Tonnes","Thousands",442.899
"65","Canada","Particulates (PM2.5)","Industrial processes and product use",2009,"Tonnes","Thousands",332.77
"66","Canada","Particulates (PM2.5)","Industrial processes and product use",2010,"Tonnes","Thousands",425.506
"67","Canada","Particulates (PM2.5)","Industrial processes and product use",2011,"Tonnes","Thousands",471.516
"68","Canada","Particulates (PM2.5)","Industrial processes and product use",2012,"Tonnes","Thousands",565.133
"69","Canada","Particulates (PM2.5)","Industrial processes and product use",2013,"Tonnes","Thousands",564.502
"70","Canada","Particulates (PM2.5)","Industrial processes and product use",2014,"Tonnes","Thousands",563.059
"71","Canada","Particulates (PM2.5)","Industrial processes and product use",2015,"Tonnes","Thousands",561.094
"72","Canada","Particulates (PM2.5)","Industrial processes and product use",2016,"Tonnes","Thousands",559.62
"73","Canada","Particulates (PM2.5)","Industrial processes and product use",2017,"Tonnes","Thousands",559.786
"74","Canada","Particulates (PM2.5)","Industrial processes and product use",2018,"Tonnes","Thousands",560.085
"75","Canada","Particulates (PM2.5)","Industrial processes and product use",2019,"Tonnes","Thousands",559.2
"76","Canada","Particulates (PM2.5)","Miscellaneous",2005,"Tonnes","Thousands",342.01
"77","Canada","Particulates (PM2.5)","Miscellaneous",2006,"Tonnes","Thousands",343.778
"78","Canada","Particulates (PM2.5)","Miscellaneous",2007,"Tonnes","Thousands",361.614
"79","Canada","Particulates (PM2.5)","Miscellaneous",2008,"Tonnes","Thousands",362.764
"80","Canada","Particulates (PM2.5)","Miscellaneous",2009,"Tonnes","Thousands",372.505
"81","Canada","Particulates (PM2.5)","Miscellaneous",2010,"Tonnes","Thousands",373.319
"82","Canada","Particulates (PM2.5)","Miscellaneous",2011,"Tonnes","Thousands",386.941
"83","Canada","Particulates (PM2.5)","Miscellaneous",2012,"Tonnes","Thousands",407.491
"84","Canada","Particulates (PM2.5)","Miscellaneous",2013,"Tonnes","Thousands",415.403
"85","Canada","Particulates (PM2.5)","Miscellaneous",2014,"Tonnes","Thousands",417.98
"86","Canada","Particulates (PM2.5)","Miscellaneous",2015,"Tonnes","Thousands",435.821
"87","Canada","Particulates (PM2.5)","Miscellaneous",2016,"Tonnes","Thousands",437.206
"88","Canada","Particulates (PM2.5)","Miscellaneous",2017,"Tonnes","Thousands",446.546
"89","Canada","Particulates (PM2.5)","Miscellaneous",2018,"Tonnes","Thousands",461.312
"90","Canada","Particulates (PM2.5)","Miscellaneous",2019,"Tonnes","Thousands",463.49
"91","Canada","Particulates (PM2.5)","Agriculture",2005,"Tonnes","Thousands",451.223
"92","Canada","Particulates (PM2.5)","Agriculture",2006,"Tonnes","Thousands",431.57
"93","Canada","Particulates (PM2.5)","Agriculture",2007,"Tonnes","Thousands",417.833
"94","Canada","Particulates (PM2.5)","Agriculture",2008,"Tonnes","Thousands",404.411
"95","Canada","Particulates (PM2.5)","Agriculture",2009,"Tonnes","Thousands",391.34
"96","Canada","Particulates (PM2.5)","Agriculture",2010,"Tonnes","Thousands",378.516
"97","Canada","Particulates (PM2.5)","Agriculture",2011,"Tonnes","Thousands",365.229
"98","Canada","Particulates (PM2.5)","Agriculture",2012,"Tonnes","Thousands",368.497
"99","Canada","Particulates (PM2.5)","Agriculture",2013,"Tonnes","Thousands",370.971
"100","Canada","Particulates (PM2.5)","Agriculture",2014,"Tonnes","Thousands",374.161
"101","Canada","Particulates (PM2.5)","Agriculture",2015,"Tonnes","Thousands",377.147
"102","Canada","Particulates (PM2.5)","Agriculture",2016,"Tonnes","Thousands",379.948
"103","Canada","Particulates (PM2.5)","Agriculture",2017,"Tonnes","Thousands",382.713
"104","Canada","Particulates (PM2.5)","Agriculture",2018,"Tonnes","Thousands",385.189
"105","Canada","Particulates (PM2.5)","Agriculture",2019,"Tonnes","Thousands",387.808
"106","Canada","Particulates (PM2.5)","Waste",2005,"Tonnes","Thousands",3.862
"107","Canada","Particulates (PM2.5)","Waste",2006,"Tonnes","Thousands",3.076
"108","Canada","Particulates (PM2.5)","Waste",2007,"Tonnes","Thousands",2.978
"109","Canada","Particulates (PM2.5)","Waste",2008,"Tonnes","Thousands",2.882
"110","Canada","Particulates (PM2.5)","Waste",2009,"Tonnes","Thousands",2.929
"111","Canada","Particulates (PM2.5)","Waste",2010,"Tonnes","Thousands",2.803
"112","Canada","Particulates (PM2.5)","Waste",2011,"Tonnes","Thousands",2.704
"113","Canada","Particulates (PM2.5)","Waste",2012,"Tonnes","Thousands",2.586
"114","Canada","Particulates (PM2.5)","Waste",2013,"Tonnes","Thousands",2.547
"115","Canada","Particulates (PM2.5)","Waste",2014,"Tonnes","Thousands",2.538
"116","Canada","Particulates (PM2.5)","Waste",2015,"Tonnes","Thousands",2.604
"117","Canada","Particulates (PM2.5)","Waste",2016,"Tonnes","Thousands",2.603
"118","Canada","Particulates (PM2.5)","Waste",2017,"Tonnes","Thousands",2.635
"119","Canada","Particulates (PM2.5)","Waste",2018,"Tonnes","Thousands",2.666
"120","Canada","Particulates (PM2.5)","Waste",2019,"Tonnes","Thousands",2.722
